"Time","S0 (inverter/slowDegHighInput, 1)","S0 (inverter/slowDegHighInput, 10)","S0 (inverter/slowDegHighInput, 2)","S0 (inverter/slowDegHighInput, 3)","S0 (inverter/slowDegHighInput, 4)","S0 (inverter/slowDegHighInput, 5)","S0 (inverter/slowDegHighInput, 6)","S0 (inverter/slowDegHighInput, 7)","S0 (inverter/slowDegHighInput, 8)","S0 (inverter/slowDegHighInput, 9)"
0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1.0,50.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0
2.0,60.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0,60.0,60.0
3.0,60.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0,70.0,60.0
4.0,60.0,50.0,60.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
5.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
6.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
7.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,60.0
8.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
9.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
10.0,60.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
11.0,70.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
12.0,80.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
13.0,90.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
14.0,89.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
15.0,89.0,50.0,70.0,60.0,50.0,50.0,60.0,50.0,70.0,70.0
16.0,89.0,50.0,70.0,60.0,50.0,50.0,60.0,60.0,70.0,70.0
17.0,89.0,50.0,70.0,60.0,50.0,50.0,70.0,60.0,70.0,70.0
18.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
19.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
20.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
21.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
22.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
23.0,89.0,50.0,70.0,60.0,60.0,60.0,70.0,60.0,70.0,80.0
24.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
25.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
26.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
27.0,89.0,50.0,70.0,70.0,60.0,60.0,70.0,60.0,70.0,80.0
28.0,89.0,50.0,70.0,70.0,70.0,60.0,70.0,60.0,70.0,80.0
29.0,89.0,60.0,70.0,70.0,70.0,60.0,70.0,60.0,70.0,80.0
30.0,99.0,60.0,70.0,70.0,70.0,60.0,70.0,60.0,70.0,80.0
31.0,99.0,60.0,70.0,70.0,70.0,60.0,69.0,70.0,70.0,80.0
32.0,99.0,60.0,70.0,70.0,70.0,60.0,69.0,70.0,70.0,80.0
33.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
34.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
35.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
36.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
37.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
38.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
39.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
40.0,99.0,60.0,70.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
41.0,99.0,60.0,80.0,70.0,80.0,60.0,69.0,70.0,70.0,80.0
42.0,99.0,60.0,80.0,70.0,90.0,60.0,69.0,70.0,70.0,80.0
43.0,99.0,60.0,80.0,70.0,90.0,60.0,69.0,70.0,70.0,80.0
44.0,99.0,70.0,80.0,70.0,90.0,60.0,69.0,70.0,70.0,80.0
45.0,99.0,80.0,80.0,70.0,90.0,60.0,69.0,70.0,70.0,80.0
46.0,99.0,80.0,80.0,70.0,90.0,60.0,69.0,69.0,80.0,80.0
47.0,99.0,80.0,80.0,70.0,90.0,60.0,69.0,79.0,90.0,80.0
48.0,99.0,80.0,80.0,70.0,90.0,70.0,69.0,79.0,90.0,80.0
49.0,99.0,80.0,79.0,70.0,90.0,70.0,69.0,79.0,90.0,80.0
50.0,99.0,80.0,79.0,70.0,90.0,70.0,69.0,79.0,90.0,80.0
51.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
52.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
53.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
54.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
55.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
56.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
57.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
58.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,79.0,90.0,80.0
59.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,89.0,90.0,80.0
60.0,99.0,80.0,89.0,70.0,100.0,70.0,69.0,89.0,90.0,80.0
61.0,99.0,80.0,89.0,70.0,100.0,70.0,79.0,89.0,90.0,80.0
62.0,99.0,80.0,89.0,70.0,100.0,70.0,79.0,89.0,90.0,80.0
63.0,99.0,80.0,89.0,70.0,100.0,70.0,79.0,89.0,90.0,80.0
64.0,99.0,80.0,89.0,70.0,100.0,70.0,79.0,89.0,90.0,80.0
65.0,99.0,80.0,89.0,70.0,100.0,70.0,79.0,89.0,90.0,80.0
66.0,99.0,80.0,89.0,70.0,100.0,70.0,79.0,89.0,90.0,80.0
67.0,99.0,80.0,89.0,80.0,100.0,70.0,79.0,89.0,90.0,80.0
68.0,109.0,80.0,99.0,80.0,99.0,70.0,89.0,89.0,90.0,80.0
69.0,109.0,80.0,99.0,80.0,99.0,70.0,89.0,89.0,90.0,80.0
70.0,109.0,80.0,99.0,80.0,99.0,70.0,89.0,89.0,90.0,80.0
71.0,109.0,80.0,99.0,80.0,99.0,70.0,89.0,89.0,90.0,80.0
72.0,109.0,80.0,99.0,80.0,99.0,70.0,89.0,89.0,100.0,79.0
73.0,109.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
74.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
75.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
76.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
77.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
78.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
79.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
80.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
81.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
82.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,100.0,79.0
83.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,110.0,79.0
84.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,110.0,79.0
85.0,119.0,80.0,99.0,80.0,99.0,70.0,88.0,89.0,110.0,89.0
86.0,119.0,90.0,99.0,80.0,99.0,70.0,88.0,89.0,110.0,89.0
87.0,119.0,90.0,99.0,80.0,99.0,70.0,88.0,89.0,110.0,89.0
88.0,119.0,90.0,109.0,80.0,99.0,70.0,88.0,89.0,110.0,89.0
89.0,119.0,90.0,109.0,80.0,99.0,70.0,88.0,89.0,110.0,89.0
90.0,119.0,100.0,109.0,80.0,99.0,70.0,88.0,89.0,110.0,99.0
91.0,119.0,100.0,109.0,80.0,99.0,70.0,98.0,89.0,110.0,99.0
92.0,119.0,100.0,109.0,80.0,99.0,70.0,98.0,89.0,110.0,99.0
93.0,119.0,100.0,109.0,80.0,99.0,70.0,98.0,89.0,110.0,99.0
94.0,119.0,100.0,109.0,80.0,99.0,70.0,98.0,89.0,110.0,99.0
95.0,119.0,100.0,109.0,80.0,109.0,70.0,98.0,99.0,110.0,99.0
96.0,119.0,100.0,109.0,80.0,109.0,70.0,98.0,99.0,110.0,99.0
97.0,119.0,100.0,109.0,80.0,109.0,70.0,98.0,99.0,110.0,99.0
98.0,129.0,100.0,109.0,80.0,109.0,70.0,108.0,99.0,110.0,98.0
99.0,129.0,100.0,109.0,80.0,109.0,70.0,108.0,109.0,110.0,98.0
100.0,129.0,100.0,109.0,80.0,109.0,70.0,108.0,109.0,110.0,98.0
101.0,129.0,100.0,109.0,80.0,119.0,70.0,108.0,109.0,110.0,98.0
102.0,129.0,100.0,109.0,80.0,119.0,70.0,108.0,109.0,110.0,98.0
103.0,129.0,100.0,109.0,80.0,119.0,70.0,108.0,109.0,110.0,98.0
104.0,129.0,100.0,109.0,80.0,119.0,70.0,108.0,109.0,110.0,98.0
105.0,129.0,100.0,109.0,80.0,119.0,70.0,108.0,119.0,110.0,98.0
106.0,129.0,100.0,109.0,80.0,119.0,70.0,108.0,119.0,120.0,98.0
107.0,129.0,100.0,109.0,80.0,119.0,70.0,108.0,119.0,120.0,98.0
108.0,129.0,100.0,109.0,80.0,119.0,70.0,118.0,119.0,120.0,98.0
109.0,129.0,110.0,109.0,80.0,119.0,70.0,118.0,119.0,120.0,98.0
110.0,129.0,110.0,109.0,80.0,119.0,70.0,118.0,119.0,120.0,98.0
111.0,129.0,110.0,109.0,80.0,119.0,70.0,118.0,119.0,120.0,98.0
112.0,129.0,110.0,109.0,80.0,119.0,70.0,118.0,119.0,120.0,98.0
113.0,129.0,110.0,109.0,80.0,119.0,70.0,118.0,119.0,120.0,98.0
114.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
115.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
116.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
117.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
118.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
119.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
120.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
121.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
122.0,129.0,110.0,109.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
123.0,129.0,110.0,119.0,80.0,129.0,70.0,118.0,119.0,120.0,98.0
124.0,129.0,110.0,119.0,80.0,129.0,70.0,118.0,119.0,120.0,97.0
125.0,129.0,110.0,119.0,80.0,129.0,70.0,118.0,119.0,120.0,97.0
126.0,129.0,110.0,119.0,80.0,139.0,70.0,118.0,119.0,120.0,107.0
127.0,129.0,110.0,119.0,80.0,139.0,70.0,118.0,119.0,120.0,107.0
128.0,129.0,110.0,119.0,80.0,149.0,70.0,118.0,119.0,120.0,107.0
129.0,129.0,110.0,119.0,80.0,159.0,80.0,118.0,119.0,120.0,107.0
130.0,129.0,110.0,119.0,80.0,159.0,80.0,117.0,119.0,120.0,107.0
131.0,139.0,110.0,119.0,80.0,159.0,80.0,117.0,119.0,120.0,107.0
132.0,139.0,110.0,119.0,80.0,169.0,80.0,117.0,119.0,120.0,107.0
133.0,139.0,110.0,119.0,80.0,169.0,80.0,117.0,119.0,130.0,107.0
134.0,139.0,110.0,119.0,80.0,169.0,80.0,117.0,119.0,130.0,107.0
135.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
136.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
137.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
138.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
139.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
140.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
141.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
142.0,139.0,110.0,119.0,80.0,169.0,90.0,117.0,119.0,130.0,107.0
143.0,139.0,110.0,119.0,80.0,169.0,90.0,127.0,119.0,140.0,107.0
144.0,139.0,110.0,119.0,80.0,169.0,90.0,127.0,119.0,140.0,107.0
145.0,139.0,110.0,119.0,80.0,169.0,90.0,127.0,119.0,140.0,107.0
146.0,139.0,110.0,119.0,80.0,169.0,90.0,127.0,119.0,140.0,107.0
147.0,139.0,120.0,119.0,90.0,179.0,90.0,127.0,119.0,140.0,107.0
148.0,139.0,120.0,119.0,90.0,179.0,90.0,127.0,119.0,140.0,107.0
149.0,139.0,120.0,119.0,90.0,179.0,90.0,137.0,119.0,140.0,107.0
150.0,139.0,120.0,119.0,90.0,179.0,90.0,137.0,119.0,140.0,107.0
151.0,139.0,120.0,119.0,90.0,179.0,90.0,137.0,119.0,140.0,107.0
152.0,139.0,120.0,119.0,90.0,179.0,90.0,137.0,119.0,150.0,107.0
153.0,139.0,120.0,119.0,90.0,179.0,90.0,147.0,119.0,150.0,107.0
154.0,139.0,120.0,129.0,90.0,179.0,100.0,147.0,119.0,150.0,107.0
155.0,139.0,120.0,129.0,90.0,179.0,100.0,147.0,119.0,160.0,107.0
156.0,139.0,120.0,129.0,90.0,179.0,100.0,147.0,119.0,160.0,107.0
157.0,149.0,120.0,129.0,90.0,178.0,100.0,147.0,119.0,160.0,107.0
158.0,149.0,120.0,129.0,100.0,178.0,100.0,147.0,129.0,160.0,107.0
159.0,149.0,120.0,129.0,100.0,178.0,100.0,147.0,129.0,160.0,107.0
160.0,149.0,120.0,129.0,100.0,198.0,100.0,147.0,139.0,160.0,107.0
161.0,149.0,120.0,129.0,100.0,198.0,100.0,147.0,139.0,160.0,107.0
162.0,149.0,120.0,129.0,100.0,198.0,100.0,147.0,139.0,160.0,107.0
163.0,149.0,120.0,129.0,100.0,198.0,100.0,147.0,139.0,160.0,107.0
164.0,149.0,120.0,129.0,100.0,198.0,100.0,147.0,139.0,160.0,107.0
165.0,149.0,120.0,129.0,100.0,198.0,100.0,146.0,139.0,160.0,107.0
166.0,149.0,120.0,129.0,100.0,197.0,100.0,146.0,139.0,160.0,107.0
167.0,149.0,120.0,129.0,100.0,197.0,100.0,146.0,139.0,159.0,107.0
168.0,149.0,120.0,129.0,100.0,197.0,110.0,146.0,139.0,159.0,107.0
169.0,159.0,120.0,129.0,100.0,197.0,110.0,146.0,139.0,159.0,107.0
170.0,159.0,129.0,129.0,100.0,197.0,110.0,146.0,139.0,159.0,107.0
171.0,169.0,129.0,129.0,100.0,197.0,110.0,146.0,139.0,159.0,107.0
172.0,179.0,129.0,129.0,100.0,197.0,110.0,146.0,139.0,159.0,107.0
173.0,179.0,129.0,129.0,100.0,197.0,110.0,146.0,139.0,159.0,117.0
174.0,179.0,129.0,129.0,100.0,197.0,110.0,156.0,139.0,159.0,117.0
175.0,179.0,129.0,129.0,100.0,197.0,110.0,156.0,139.0,159.0,117.0
176.0,179.0,129.0,129.0,100.0,207.0,110.0,156.0,139.0,159.0,117.0
177.0,179.0,129.0,129.0,100.0,207.0,110.0,156.0,139.0,159.0,117.0
178.0,179.0,129.0,129.0,100.0,207.0,110.0,156.0,139.0,159.0,117.0
179.0,179.0,129.0,129.0,100.0,207.0,110.0,156.0,139.0,159.0,117.0
180.0,179.0,129.0,129.0,100.0,207.0,110.0,156.0,139.0,159.0,117.0
181.0,179.0,139.0,129.0,100.0,207.0,110.0,156.0,139.0,159.0,117.0
182.0,179.0,149.0,129.0,100.0,207.0,110.0,176.0,139.0,159.0,117.0
183.0,179.0,159.0,129.0,100.0,207.0,110.0,176.0,139.0,159.0,117.0
184.0,179.0,159.0,139.0,100.0,207.0,110.0,176.0,139.0,159.0,117.0
185.0,179.0,159.0,139.0,100.0,207.0,110.0,176.0,139.0,159.0,117.0
186.0,179.0,159.0,139.0,100.0,207.0,110.0,186.0,139.0,159.0,117.0
187.0,179.0,159.0,139.0,100.0,217.0,110.0,186.0,139.0,179.0,117.0
188.0,179.0,159.0,139.0,100.0,217.0,110.0,196.0,139.0,179.0,117.0
189.0,179.0,159.0,139.0,100.0,217.0,110.0,206.0,139.0,179.0,117.0
190.0,179.0,169.0,139.0,100.0,217.0,110.0,206.0,139.0,179.0,117.0
191.0,179.0,169.0,139.0,100.0,217.0,120.0,206.0,139.0,179.0,117.0
192.0,179.0,169.0,139.0,100.0,217.0,120.0,206.0,139.0,179.0,117.0
193.0,179.0,169.0,139.0,100.0,217.0,120.0,206.0,139.0,179.0,117.0
194.0,179.0,169.0,149.0,110.0,217.0,120.0,206.0,139.0,179.0,117.0
195.0,179.0,179.0,149.0,110.0,217.0,120.0,206.0,139.0,179.0,117.0
196.0,179.0,179.0,149.0,110.0,217.0,120.0,206.0,139.0,179.0,117.0
197.0,179.0,179.0,149.0,110.0,226.0,120.0,206.0,139.0,179.0,117.0
198.0,179.0,179.0,159.0,110.0,226.0,120.0,206.0,139.0,179.0,117.0
199.0,179.0,179.0,159.0,110.0,226.0,120.0,206.0,139.0,179.0,117.0
200.0,179.0,179.0,159.0,110.0,226.0,120.0,206.0,139.0,179.0,117.0
